Var,Country,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Generosity,Generosity,Generosity,Happiness score,Happiness score,Happiness score,Healthy life expectancy,Healthy life expectancy,Healthy life expectancy,Logged GDP per capita,Logged GDP per capita,Logged GDP per capita,Perceptions of corruption,Perceptions of corruption,Perceptions of corruption,Region,Social support,Social support,Social support
64,Ivory Coast,0.727909327,0.741,1.79839336,-0.043991156,-0.016,-63.62905308,5.233300209,5.306,1.389176774,49.50377274,50.114,1.232688392,8.225561142,8.551,3.956433517,0.790771961,0.794,0.408213639,Sub-Saharan Africa,0.658048689,0.644,-2.134901146
65,Jamaica,0.858068526,0.89,3.721319805,-0.125106767,-0.137,9.506466585,5.889800072,6.309,7.117388076,67.09999847,67.5,0.59612748,9.006250381,9.186,1.99583191,0.888890028,0.884,-0.550127445,Latin America and Caribbean,0.915701866,0.877,-4.226470147
66,Japan,0.809961379,0.796,-1.723709224,-0.246910349,-0.258,4.491367432,5.870800018,5.94,1.178714686,75.00096893,75.1,0.132039721,10.57968903,10.611,0.295953595,0.654558063,0.638,-2.529655341,East Asia,0.883545935,0.884,0.051391216
67,Jordan,0.75104779,0.755,0.526226167,-0.162565202,-0.167,2.728011866,4.633399963,4.395,-5.145248951,66.79975128,67,0.299774649,9.025999069,9.182,1.728350843,0.700344324,0.705,0.664769577,Middle East and North Africa,0.80216372,0.767,-4.383608872
68,Kazakhstan,0.811601937,0.853,5.100784154,-0.068488635,-0.069,0.746642125,6.057899952,6.152,1.553344373,64.60996246,65.2,0.913229969,10.11465836,10.155,0.398843328,0.764490843,0.733,-4.119191654,Commonwealth of Independent States,0.934744895,0.952,1.845969429
69,Kenya,0.829747558,0.779,-6.116023785,0.294681519,0.287,-2.606718951,4.583000183,4.607,0.523670435,60.09693146,60.704,1.01014898,8.02977562,8.361,4.124951875,0.831499159,0.825,-0.781619432,Sub-Saharan Africa,0.702652037,0.688,-2.085247922
70,Kosovo,0.861535907,0.869,0.866370506,0.190933764,0.257,34.6016517,6.325200081,6.372,0.739896263,63.88555527,63.813,-0.113570696,9.204429626,9.318,1.233866504,0.922328293,0.917,-0.577700266,Central and Eastern Europe,0.820726514,0.821,0.033322428
71,Kuwait,0.872366488,0.867,-0.615164392,-0.100184701,-0.104,3.808265096,6.102099895,6.106,0.063914145,66.76764679,66.9,0.198229556,11.08982468,10.817,-2.460135195,0.760849059,0.736,-3.265964347,Middle East and North Africa,0.846475244,0.843,-0.410554712
72,Kyrgyzstan,0.909374893,0.935,2.817881514,0.154772058,0.119,-23.11273654,5.541500092,5.744,3.65424352,64.10601044,64.401,0.460158974,8.148405075,8.538,4.7812415,0.888396084,0.908,2.206663937,Commonwealth of Independent States,0.887228489,0.893,0.650510108
73,Laos,0.907213569,0.91,0.30714168,0.11137148,0.123,10.44120093,4.888599873,5.03,2.892446317,58.70992279,58.968,0.439580224,8.79858017,8.947,1.686861143,0.634679317,0.658,3.674404124,Southeast Asia,0.737502217,0.728,-1.28843233
74,Latvia,0.671237648,0.715,6.519650995,-0.186888844,-0.162,-13.31745837,5.949999809,6.032,1.378154515,66.8074646,67.1,0.437878315,10.17531967,10.315,1.372736528,0.795580089,0.8,0.555558273,Central and Eastern Europe,0.918288589,0.927,0.94865722
75,Lebanon,0.551357508,0.525,-4.780475031,-0.06121527,-0.073,19.25129139,4.771500111,4.584,-3.929584127,67.10658264,67.355,0.370183297,9.3617239,9.626,2.822942685,0.90225625,0.898,-0.471734056,Middle East and North Africa,0.824338138,0.848,2.870407289
76,Lesotho,0.738125861,0.715,-3.13305118,-0.145732045,-0.131,-10.1089949,3.652800083,3.512,-3.854579495,48.00362396,48.7,1.450673892,7.960488319,7.926,-0.433243761,0.857392073,0.915,6.718971263,Sub-Saharan Africa,0.780495703,0.787,0.83335462
77,Liberia,0.735268712,0.735,-0.036546095,0.04227322,0.05,18.27819125,4.557899952,4.625,1.472170269,56.09631348,56.498,0.716065807,7.054380417,7.288,3.311695276,0.856375933,0.85,-0.74452501,Sub-Saharan Africa,0.70928055,0.72,1.511313119
